;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
416;INDIA;Indians;72,83;18,98;100;0,36;Desai, H. G., et al. (1970) Indian J.Med.Sci. 24, 729.
417;INDIA;Indians;78,47;17,38;18;0,39;Reddy, V., Pershad, J. (1972) Am.J.Clin.Nutr. 25, 114.
418;INDIA;Indians;80,28;13,08;38;0;Swaminathan et al. (1970) Clin Chim Acta 30, 707.
419;INDIA;Northern Indians;77,2;28,6;70;0,73;Gupta, P. S., et al. (1971) J.Trop.Med.Hyg. 74, 225.
420;INDIA;Northern Indians;77,2;28,6;66;0,36;Tandon, R. K., et al. (1981) Am.J.Clin.Nutr. 34, 943.
110;Iran;Iranians;53,688046;32,427908;21;0,14;Sadre, 79. Lactose
111;Iran;Iranians;53,688046;32,427908;21;0,19;Enattah, 2007. Evidence
112;Iran;Qashqai;53,688046;32,427908;10;0,1;Enattah, 2007. Evidence
113;Iraq;Iraqi in Israel;43,679291;33,223191;96;0,07;Raz, 13. Frequency
494;IRELAND;Native Irish;-6,25;53,33;50;0,96;Fielding, J. F., et al. (1981) Ir.J.Med.Sci. 150, 276.
115;Israel;Arabs;34,851612;31,046051;67;0,194;El Schallah, 73. Lactose
116;Israel;Ashkenazi in Israel;34,851612;31,046051;96;0,17;Raz, 13. Frequency
117;Israel;Bedouin;34,851612;31,046051;98;0,06;Bersaglieri, 04 (with adaptions in Itan 10)
118;Israel;Bedouin-Arabs in Israel;34,851612;31,046051;151;0,03;Raz, 13. Frequency
119;Israel;Druze;34,851612;31,046051;96;0,04;Bersaglieri, 04 (with adaptions in Itan 10)
120;Israel;Morrocan Jews in Israel;34,851612;31,046051;96;0,18;Raz, 13. Frequency
121;Israel;Palestinian arabs;34,851612;31,046051;102;0,08;Bersaglieri, 04 (with adaptions in Itan 10)
529;ISRAEL;Arabs;34,95;32,23;67;0,19;Gilat, T et al. (1971) Digestive Diseases 16, 203 
122;Italy;Apulia;12,56738;41,87194;157;0,18;Piepoli, 07. Genotyping
123;Italy;Central;12,56738;41,87194;98;0,19;Anagnostou, 09. Tracing
125;Italy;Central-North;12,56738;41,87194;206;0,25;Anagnostou, 09. Tracing
126;Italy;Napolitans;12,56738;41,87194;31;0,16;Rinaldi, 84. High
127;Italy;North-Eastern;12,56738;41,87194;219;0,43;Anagnostou, 09. Tracing
130;Italy;Not specified;12,56738;41,87194;125;0,29;Mottes, 08. Genetic
131;Italy;Not specified;12,56738;41,87194;69;0,3;Sciarretta, 84. Hydrogen
133;Italy;Sardinia;12,56738;41,87194;153;0,14;Anagnostou, 09. Tracing
